Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
4804,Exit long,2021-02-16 15:55,Exit Long Trailing,31487,31.7,999691.2,-1553.3,-0.16,190.2,0.02,-2028.8,-0.20,-751.2,-0.08
4804,Entry long,2021-02-16 15:50,Long,31536,31.7,999691.2,-1553.3,-0.16,190.2,0.02,-2028.8,-0.20,-751.2,-0.08
4805,Exit long,2021-02-16 16:55,Exit Long Trailing,31504,31.7,998233,443.8,0.04,475.5,0.05,-919.3,-0.09,-307.4,-0.03
4805,Entry long,2021-02-16 16:50,Long,31490,31.7,998233,443.8,0.04,475.5,0.05,-919.3,-0.09,-307.4,-0.03
4806,Exit long,2021-02-16 17:15,Exit Long Trailing,31509,31.7,997060.1,1775.2,0.18,2092.2,0.21,-63.4,-0.01,1467.8,0.15
4806,Entry long,2021-02-16 17:10,Long,31453,31.7,997060.1,1775.2,0.18,2092.2,0.21,-63.4,-0.01,1467.8,0.15
4807,Exit short,2021-02-17 07:30,Exit Short Trailing,31525,31.7,1000008.2,665.7,0.07,665.7,0.07,-190.2,-0.02,2133.5,0.21
4807,Entry short,2021-02-17 07:20,Short,31546,31.7,1000008.2,665.7,0.07,665.7,0.07,-190.2,-0.02,2133.5,0.21
4808,Exit long,2021-02-17 07:40,Exit Long Trailing,31533,31.7,999279.1,317,0.03,317,0.03,0,0.00,2450.5,0.25
4808,Entry long,2021-02-17 07:35,Long,31523,31.7,999279.1,317,0.03,317,0.03,0,0.00,2450.5,0.25
4809,Exit short,2021-02-17 13:50,Exit Short Trailing,31467,31.8,1002463.2,1812.6,0.18,1812.6,0.18,-540.6,-0.05,4263.1,0.43
4809,Entry short,2021-02-17 13:35,Short,31524,31.8,1002463.2,1812.6,0.18,1812.6,0.18,-540.6,-0.05,4263.1,0.43
4810,Exit short,2021-02-17 20:15,Exit Short Trailing,31632,31.7,1002956.3,221.9,0.02,475.5,0.05,0,0.00,4485,0.45
4810,Entry short,2021-02-17 20:10,Short,31639,31.7,1002956.3,221.9,0.02,475.5,0.05,0,0.00,4485,0.45
4811,Exit short,2021-02-17 23:40,Exit Short Trailing,31626,31.7,1002449.1,-95.1,-0.01,63.4,0.01,-126.8,-0.01,4389.9,0.44
4811,Entry short,2021-02-17 23:35,Short,31623,31.7,1002449.1,-95.1,-0.01,63.4,0.01,-126.8,-0.01,4389.9,0.44
4812,Exit short,2021-02-18 01:55,Exit Short Trailing,31640,31.7,1003178.2,190.2,0.02,1014.4,0.10,-95.1,-0.01,4580.1,0.46
4812,Entry short,2021-02-18 01:40,Short,31646,31.7,1003178.2,190.2,0.02,1014.4,0.10,-95.1,-0.01,4580.1,0.46
4813,Exit long,2021-02-18 11:10,Exit Long Trailing,31523,31.8,1001572.8,858.6,0.09,858.6,0.09,-508.8,-0.05,5438.7,0.54
4813,Entry long,2021-02-18 11:05,Long,31496,31.8,1001572.8,858.6,0.09,858.6,0.09,-508.8,-0.05,5438.7,0.54
4814,Exit long,2021-02-18 13:25,Exit Long Trailing,31488,31.9,1004786.2,-319,-0.03,0,0.00,-478.5,-0.05,5119.7,0.51
4814,Entry long,2021-02-18 13:20,Long,31498,31.9,1004786.2,-319,-0.03,0,0.00,-478.5,-0.05,5119.7,0.51
4815,Exit long,2021-02-18 13:45,Exit Long Trailing,31426,31.9,1002904.1,-414.7,-0.04,574.2,0.06,-414.7,-0.04,4705,0.47
4815,Entry long,2021-02-18 13:40,Long,31439,31.9,1002904.1,-414.7,-0.04,574.2,0.06,-414.7,-0.04,4705,0.47
4816,Exit long,2021-02-19 02:25,Exit Long Trailing,31386,32,1004288,64,0.01,256,0.03,-224,-0.02,4769,0.48
4816,Entry long,2021-02-19 02:20,Long,31384,32,1004288,64,0.01,256,0.03,-224,-0.02,4769,0.48
4817,Exit long,2021-02-19 03:55,Exit Long Trailing,31390,32,1004416,64,0.01,128,0.01,-128,-0.01,4833,0.48
4817,Entry long,2021-02-19 03:50,Long,31388,32,1004416,64,0.01,128,0.01,-128,-0.01,4833,0.48
4818,Exit short,2021-02-19 07:45,Exit Short Trailing,31460,31.9,1003605.9,31.9,0.00,255.2,0.03,-287.1,-0.03,4864.9,0.49
4818,Entry short,2021-02-19 07:40,Short,31461,31.9,1003605.9,31.9,0.00,255.2,0.03,-287.1,-0.03,4864.9,0.49
4819,Exit short,2021-02-19 13:25,Exit Short Trailing,31572,31.8,1004562,572.4,0.06,572.4,0.06,-31.8,0.00,5437.3,0.54
4819,Entry short,2021-02-19 13:15,Short,31590,31.8,1004562,572.4,0.06,572.4,0.06,-31.8,0.00,5437.3,0.54
4820,Exit short,2021-02-19 14:25,Exit Short Trailing,31580,31.8,1003576.2,-667.8,-0.07,381.6,0.04,-667.8,-0.07,4769.5,0.48
